Id,Label,Type
urn:uuid:6f33ef7e-d8f2-4c7f-b199-220cd82360bb,Process & Techniques,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:b5917a19-269c-425a-b51b-042ab280063a,Project Management,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:db1a4761-fe47-45c6-a748-f6c830283e94,Prototyping,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:0339bd3a-1495-46d2-a252-6cb85d3d0599,RDF,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:401a15e4-b3c3-4524-b1cc-02a7de75a3c7,RSS,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:f420bb98-6664-4656-b5b9-9e4d8a110740,Research Methods,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:e6523881-81a2-4d74-8282-3670d1cf1733,Scenario Development,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:414c33cd-d712-495a-9a37-a2b41aaab9a2,Search Technology,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:1382e9c1-b28c-44fb-ba43-21b7d71bd1bb,Searching,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:65bd8cd3-6665-4b20-8f16-1a3e1c36ee16,Semantic Web,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:caa59164-2b81-432b-8b9e-5cd936b85d2b,Site Blueprints,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:9fe7eafb-3331-43c5-b388-a264b8b40b22,Social Context,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:0f72aabd-b34b-43ad-8476-fb015741696a,Software,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:74f444ae-f7e8-488c-8049-4257d193c81f,Software,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:12e88375-1e85-4996-b4fc-c88387e2e589,Standards & Guidelines,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:eb56653f-0806-431e-849f-5355075df079,Structured Information,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:4bb33707-cede-46c7-99d3-b56f0be5946b,Supplemental Navigation,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:0f76c055-b1db-449c-9b82-7938c1b604d3,Theory,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:9a26e990-3682-4e88-b575-38c7fa7472dc,Thesauri,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:d2e9a10c-ea5e-486d-82e1-dd8c056f2fea,Thesaurus Design,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:480bd8e5-0eb5-40b5-a9f4-5abd48669959,Tools & Technology,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:52496aa7-2611-4b1c-99da-e2c6888bc554,User Centered Design,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:bfc84d9e-bbbb-438e-9776-c486bdab2dbd,User Testing,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:efb18460-e572-45ba-ace8-5ca97712bef9,Video,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:7d075604-cff2-4bbf-a9fe-a84e035954e1,Visual Design,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:ae7e94c5-a507-4814-b12d-70d7df6afb68,Web Blogging,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:7353aec3-62ea-46d1-85af-9229e6e7aad7,Web Browsers,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:3dad93f9-d3a0-49a2-9140-66f925cfd251,Web Design,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:1b7e10db-4198-4268-a8a1-1d09681dcb8e,Web Development,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:97b19901-c322-497e-b3e9-cae1790d0ed1,Wireframes,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:6e2417a5-e29f-4b3a-aaea-0877458e131d,Wireless Networking,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:f8d87b4a-ed6a-47e4-a42a-99f732425756,World Wide Web,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:9c89332d-07af-496a-b6c2-c189659dd375,Writing for the Web,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:bd5ec3e2-d019-4303-adec-3b6b2d152dec,XFML,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:d36b00b9-48ac-4b00-be3b-579fffe41226,XML,http://www.w3.org/2004/02/skos/core#Concept
